Customer_ID,Region,Account_Type,Month,Year,kWh_Consumed,Peak_Demand_kW,Bill_Amount_USD,Temperature_Avg_F
1,Mobile,Commercial,1,2023,11723.69,26.51,1172.37,90.5
1,Mobile,Commercial,2,2023,982.5,2.42,98.25,58.6
1,Mobile,Commercial,3,2023,9389.21,23.79,938.92,110.2
1,Mobile,Commercial,4,2023,14231.31,27.64,1423.13,71.3
1,Mobile,Commercial,5,2023,4095.65,8.93,409.56,76.2
1,Mobile,Commercial,6,2023,9811.48,23.98,981.15,69.3
1,Mobile,Commercial,7,2023,3746.38,9.46,374.64,77.4
1,Mobile,Commercial,8,2023,3288.69,5.79,328.87,103.1
1,Mobile,Commercial,9,2023,15583.72,41.39,1558.37,84.9
1,Mobile,Commercial,10,2023,8448.55,15.64,844.86,65.1
1,Mobile,Commercial,11,2023,7896.06,13.8,789.61,99.6
1,Mobile,Commercial,12,2023,12343.27,29.82,1234.33,78.1
1,Mobile,Commercial,1,2024,12619.87,27.78,1261.99,83.2
1,Mobile,Commercial,2,2024,9981.39,27.57,998.14,89.7
1,Mobile,Commercial,3,2024,10585.14,24.54,1058.51,87.9
1,Mobile,Commercial,4,2024,8806.94,17.72,880.69,71.2
1,Mobile,Commercial,5,2024,5259.19,10.85,525.92,65.0
1,Mobile,Commercial,6,2024,25.85,0.06,2.59,61.3
1,Mobile,Commercial,7,2024,3295.73,8.58,329.57,67.4
1,Mobile,Commercial,8,2024,15811.22,32.6,1581.12,72.6
1,Mobile,Commercial,9,2024,9208.83,21.64,920.88,79.1
1,Mobile,Commercial,10,2024,15937.9,32.05,1593.79,66.4
1,Mobile,Commercial,11,2024,6887.39,16.44,688.74,73.4
1,Mobile,Commercial,12,2024,13682.67,31.32,1368.27,95.2
2,Rural North,Commercial,1,2023,10372.92,20.25,1037.29,93.5
2,Rural North,Commercial,2,2023,8888.3,19.19,888.83,72.4
2,Rural North,Commercial,3,2023,13893.62,34.05,1389.36,82.3
2,Rural North,Commercial,4,2023,4322.35,10.89,432.23,90.0
2,Rural North,Commercial,5,2023,6957.54,16.75,695.75,70.0
2,Rural North,Commercial,6,2023,12465.02,21.75,1246.5,73.7
2,Rural North,Commercial,7,2023,9944.79,26.85,994.48,84.9
2,Rural North,Commercial,8,2023,4085.28,8.0,408.53,80.8
2,Rural North,Commercial,9,2023,14747.37,35.19,1474.74,60.7
2,Rural North,Commercial,10,2023,10249.54,23.42,1024.95,62.6
2,Rural North,Commercial,11,2023,13106.99,25.4,1310.7,90.2
2,Rural North,Commercial,12,2023,6228.39,13.13,622.84,108.1
2,Rural North,Commercial,1,2024,13533.13,27.8,1353.31,85.6
2,Rural North,Commercial,2,2024,11253.05,22.95,1125.31,89.8
2,Rural North,Commercial,3,2024,3021.79,6.48,302.18,77.9
2,Rural North,Commercial,4,2024,9915.95,23.27,991.6,69.0
2,Rural North,Commercial,5,2024,10323.98,18.06,1032.4,93.5
2,Rural North,Commercial,6,2024,5891.15,12.5,589.12,74.2
2,Rural North,Commercial,7,2024,3897.07,7.68,389.71,48.2
2,Rural North,Commercial,8,2024,11894.66,27.86,1189.47,74.6
2,Rural North,Commercial,9,2024,8237.9,20.84,823.79,60.2
2,Rural North,Commercial,10,2024,7072.48,18.4,707.25,91.4
2,Rural North,Commercial,11,2024,8004.11,14.02,800.41,75.4
2,Rural North,Commercial,12,2024,9037.64,24.64,903.76,56.5
3,Birmingham,Industrial,1,2023,23124.6,45.46,2312.46,56.2
3,Birmingham,Industrial,2,2023,15301.92,30.39,1530.19,59.3
3,Birmingham,Industrial,3,2023,19123.88,50.78,1912.39,69.7
3,Birmingham,Industrial,4,2023,19993.87,34.93,1999.39,61.4
3,Birmingham,Industrial,5,2023,25027.48,61.34,2502.75,87.5
3,Birmingham,Industrial,6,2023,19130.93,40.04,1913.09,67.8
3,Birmingham,Industrial,7,2023,17103.21,38.03,1710.32,70.3
3,Birmingham,Industrial,8,2023,12998.77,35.89,1299.88,60.6
3,Birmingham,Industrial,9,2023,24300.6,56.85,2430.06,79.5
3,Birmingham,Industrial,10,2023,28171.37,59.84,2817.14,70.5
3,Birmingham,Industrial,11,2023,18192.43,33.54,1819.24,68.9
3,Birmingham,Industrial,12,2023,18404.18,36.6,1840.42,65.1
